"23/02/2023 23:11:06 [Acceso Válido] | Nombre de usuario: admin | Contraseña: admin"
"23/02/2023 23:12:48 [Acceso Válido] | Nombre de usuario: admin | Contraseña: admin"
"23/02/2023 23:15:39 [Acceso Denegado] | Nombre de usuario: pepe | Contraseña: pepe"
"23/02/2023 23:17:20 [Acceso Denegado] | Nombre de usuario: pepe | Contraseña: pepe"
"23/02/2023 23:17:56 [Acceso Denegado] | Nombre de usuario: admin | Contraseña: admin.admin0"
"23/02/2023 23:20:34 [Acceso Denegado] | Nombre de usuario: admin | Contraseña: admin.admin"
"23/02/2023 23:41:27 [Acceso Válido] | Nombre de usuario: admin | Contraseña: admin"
"23/02/2023 23:41:59 [Acceso Denegado] | Nombre de usuario: pepepe | Contraseña: pepe.pepe1"
"24/02/2023 0:12:42 [Acceso Denegado] | Nombre de usuario: nombre.apellido1 | Contraseña: contraseña"
"24/02/2023 0:12:53 [Acceso Denegado] | Nombre de usuario: nombre.apellido1 | Contraseña: "
"24/02/2023 0:15:32 [Acceso Denegado] | Nombre de usuario: nombre.apellido1 | Contraseña: contraseña"

"24/02/2023 0:45:24 [Acceso Denegado] | Nombre de usuario:  | Contraseña: contraseña"
"24/02/2023 0:45:46 [Acceso Denegado] | Nombre de usuario: nombre.apellido1 | Contraseña: contraseña"
"24/02/2023 0:52:25 [Acceso Válido] | Nombre de usuario: admin | Contraseña: admin"
"24/02/2023 10:34:11 [Acceso Válido] | Nombre de usuario: admin | Contraseña: admin"
"24/02/2023 10:35:33 [Acceso Válido] | Nombre de usuario: admin | Contraseña: admin"
"24/02/2023 11:02:40 [Acceso Válido] | Nombre de usuario: admin | Contraseña: admin"
"24/02/2023 11:03:00 [Acceso Válido] | Nombre de usuario: admin | Contraseña: admin"
"24/02/2023 21:39:48 [Acceso Válido] | Nombre de usuario: admin | Contraseña: admin"
"24/02/2023 21:45:17 [Acceso Válido] | Nombre de usuario: admin | Contraseña: admin"
